"Paper ID","Rev ID","Rating","Theme","Accept"
1064,130,77,4,1
1074,130,50,2,0
1187,130,91,5,1
1200,130,72,2,1
1218,130,68,2,1
1229,130,72,3,1
1323,130,61,2,0
1344,130,83,2,1
1354,130,78,2,1
1364,130,81,2,1
1378,130,63,2,0
1387,130,62,2,0
1391,130,76,4,1
