"Paper ID","Rev ID","Rating","Theme","Accept"
1045,116,95,5,1
1153,116,0,2,1
1158,116,100,5,1
1161,116,100,5,1
1178,116,90,3,1
1216,116,75,1,0
1260,116,95,2,1
1312,116,100,2,1
1380,116,80,4,1
1383,116,90,2,1
1384,116,100,4,1
1389,116,65,2,0
